URL,Last crawled
https://www.freyartt.com/gezi-rehberi/anadolu-yakasinda-gezilecek-yerler/,2026-05-17
https://www.freyartt.com/sanat-akimlari/yapay-zeka-ile-hazirlanan-sergiler/,2026-05-17
https://www.freyartt.com/category/sanat-tarihi/page/14/,2026-05-16
https://www.freyartt.com/sanat-tarihi/enstalasyon-sanati-izleyicinin-icine-girdigi-sanat-dunyasi/feed/,2026-05-16
https://www.freyartt.com/sanat-tarihi/notre-dame-de-parisin-mimari-ozellikleri-nelerdir/,2026-05-15
https://www.freyartt.com/biyografi/andrea-palladio-kimdir/feed/,2026-05-15
https://www.freyartt.com/biyografi/andrea-palladio-kimdir/,2026-05-15
https://www.freyartt.com/gezi-rehberi/atinada-gezilecek-yerler-6-onemli-lokasyon/,2026-05-15
https://www.freyartt.com/category/biyografi/page/8/,2026-05-15
https://www.freyartt.com/film-ve-dizi/sanatla-ilgili-5-belgesel/,2026-05-15
https://www.freyartt.com/film-ve-dizi/pulp-fiction-film-incelemesi/feed/,2026-05-14
https://www.freyartt.com/biyografi/amedeo-modigliani-kimdir-ve-eserleri-neler/feed/,2026-05-14
https://www.freyartt.com/uncategorized/lal-batmanin-the-grand-excess-sergisi-pilevnelide/,2026-05-14
https://www.freyartt.com/blog/page/71/,2026-05-14
https://www.freyartt.com/biyografi/ekrem-kahraman-kimdir-calismalari-nelerdir/feed/,2026-05-14
https://www.freyartt.com/nedir/kokina-nedir-anlami-nedir/feed/,2026-05-14
https://www.freyartt.com/category/sanat-tarihi/page/2/,2026-05-14
https://www.freyartt.com/film-ve-dizi/baby-reindeer-gercek-bir-hikayenin-sarsici-anlatimi/,2026-05-14
https://www.freyartt.com/nedir/op-art-nedir-ve-nasil-yapilir/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/5-populer-surreal-ressam-ve-calismalari/feed/,2026-05-13
https://www.freyartt.com/hayattan/muzelerde-fotograf-cekmek-serbest-mi/feed/,2026-05-13
https://www.freyartt.com/tag/felsefe/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/babil-kulesi-bir-pieter-bruegel-efsanesi/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/islam-mimarisinin-dogusu/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/islam-mimarisinin-dogusu/,2026-05-13
https://www.freyartt.com/sanat-tarihi/bizans-ikonalarin-sanati/feed/,2026-05-13
https://www.freyartt.com/biyografi/anish-kapoor-kimdir-ve-eserleri-nelerdir/feed/,2026-05-13
https://www.freyartt.com/etkinlikler/duygun-hangi-renk-renk-terapisi/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/roma-su-kemerleri-muhendisligin-sanata-suyun-medeniyete-donustugu-yer/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/ayasofya-ve-kubbe-gecis-elemanlari/feed/,2026-05-13
https://www.freyartt.com/sanat-tarihi/ayasofya-ve-kubbe-gecis-elemanlari/,2026-05-12
https://www.freyartt.com/sanat-tarihi/frida-kahlonun-sinirda-otoportresi-meksika-ve-abd-arasinda-kopru/feed/,2026-05-12
https://www.freyartt.com/category/hayattan/page/3/,2026-05-12
https://www.freyartt.com/sanat-tarihi/pablo-picassonun-donemleri-mavi-pembe-ve-kubizm/feed/,2026-05-12
https://www.freyartt.com/biyografi/paul-klee-kimdir-ve-eserleri-neler/feed/,2026-05-12
https://www.freyartt.com/nedir/tate-modern-nasil-bir-muzedir-modern-sanatin-kalbine-yolculuk/feed/,2026-05-12
https://www.freyartt.com/biyografi/richard-serra-kimdir-ve-eserleri-neler/feed/,2026-05-12
https://www.freyartt.com/hayattan/ev-icin-tablo-secerken-neye-dikkat-edilir/feed/,2026-05-12
https://www.freyartt.com/biyografi/giorgio-morandi-kimdir-ve-eserleri-neler/feed/,2026-05-12
https://www.freyartt.com/hayattan/baron-nedir-gunumuzde-baron-ne-demek/feed/,2026-05-12
https://www.freyartt.com/biyografi/eugene-delacroix-kimdir-ve-eserleri-neler/feed/,2026-05-12
https://www.freyartt.com/biyografi/giorgio-morandi-kimdir-ve-eserleri-neler/,2026-05-12
https://www.freyartt.com/hayattan/ev-icin-tablo-secerken-neye-dikkat-edilir/,2026-05-11
https://www.freyartt.com/sanat-haberleri/2026-iksv-film-festivalinde-bu-yil-hangi-filmler-var/feed/,2026-05-11
https://www.freyartt.com/sanat-tarihi/realizm-akiminin-dogusu-sanatta-gercegin-ciplak-sesi/feed/,2026-05-11
https://www.freyartt.com/muzik/beethovenin-en-bilinen-eserleri-nelerdir/feed/,2026-05-11
